Legal Name,Borough,Permit Expiration,Status,Age Range,Maximum Capacity,Child Care Type,Date Permitted,Current Date,Years in operations,Violation Rate Percent,Total Educational Workers,Public Health Hazard Violation Rate,Critical Violation Rate,Inspection Date,Regulation Summary,Violation Category,Violation Status,Inspection Summary Result
UNITED CEREBRAL PALSY OF NYC,BROOKLYN,3/6/22,Expired-In Renewal,2 YEARS - 5 YEARS,66,Child Care - Pre School,3/6/20,4/17/22,2,0,12,0,0,2/16/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
HAPPY DRAGON OF NEW YORK,QUEENS,4/6/23,Permitted,2 YEARS - 5 YEARS,56,Child Care - Pre School,10/30/00,4/17/22,21,60,9,20,60,2/3/22,Enrolled children 6 months to 59 months have Not received FDA approved annual influenza immunization by December 31 of the year,CRITICAL,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
International Academy of New York,MANHATTAN,9/19/23,Permitted,2 YEARS - 5 YEARS,80,Child Care - Pre School,9/19/19,4/17/22,2,75,4,25,75,3/8/22,At time of inspection required hand wash signs were Not provided.,GENERAL,OPEN,Initial Annual Inspection - Reinspection Not Required
"MILLER DAY CARE CENTER, INC.",MANHATTAN,9/2/22,Permitted,0 YEARS - 2 YEARS,18,Child Care - Infants/Toddlers,9/2/16,4/17/22,5,60,8,20,60,3/23/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
UP N TOP INC.,QUEENS,1/31/24,Permitted,2 YEARS - 5 YEARS,50,Child Care - Pre School,1/31/20,4/17/22,2,25,8,25,0,3/23/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
QUEENS POINTE TALENT INC.,QUEENS,10/27/23,Permitted,2 YEARS - 5 YEARS,180,Child Care - Pre School,10/27/15,4/17/22,6,50,8,16.6667,33.3333,3/9/22,Windows excluding fire escape windows in a child care service observed without window guards in a child care service.,PUBLIC HEALTH HAZARD,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
"MID BRONX CCRP EARLY CHILDHOOD CENTER, INC.",BRONX,10/25/22,Permitted,2 YEARS - 5 YEARS,220,Child Care - Pre School,10/25/12,4/17/22,9,100,5,100,100,2/1/22,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,CORRECTED,None
TEKCORE INC.,BROOKLYN,8/11/23,Permitted,0 YEARS - 2 YEARS,10,Child Care - Infants/Toddlers,8/11/21,4/17/22,0,50,1,0,50,3/23/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Reinspection Required; Violations corrected at time of inspection
BERRY PATCH DAYCARE CORPORATION,BROOKLYN,11/30/22,Permitted,2 YEARS - 5 YEARS,18,Child Care - Pre School,11/30/10,4/17/22,11,14.2857,4,0,14.2857,2/1/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
Kissena Cherry Daycare Inc,QUEENS,3/1/24,Permitted,2 YEARS - 5 YEARS,90,Child Care - Pre School,3/1/18,4/17/22,4,40,11,20,20,3/2/22,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Required
"OUR CHILDREN-THE LEADERS OF TOMORROW, INC.",BROOKLYN,9/8/23,Permitted,2 YEARS - 5 YEARS,63,Child Care - Pre School,9/8/09,4/17/22,12,50,8,16.6667,50,3/10/22,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required
KUEI LUCK EARLY CHILDHOOD CENTER LLC,QUEENS,3/1/24,Permitted,0 YEARS - 2 YEARS,10,Child Care - Infants/Toddlers,3/1/16,4/17/22,6,0,4,0,0,3/1/22,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,OPEN,Initial Annual Inspection - Reinspection Not Required
"KIDZ WORLD EARLY CHILDHOOD CTR,INC",QUEENS,8/22/22,Permitted,2 YEARS - 5 YEARS,148,Child Care - Pre School,8/22/12,4/17/22,9,0,13,0,0,3/29/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
CHINESE AMERICAN PLANNING COUNCIL INC.,MANHATTAN,9/18/21,Expired-In Renewal,2 YEARS - 5 YEARS,39,Child Care - Pre School,9/18/13,4/17/22,8,0,6,0,0,2/14/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
SCO FAMILY OF SERVICES,QUEENS,10/5/22,Permitted,2 YEARS - 5 YEARS,83,Child Care - Pre School,10/5/12,4/17/22,9,14.2857,10,0,14.2857,3/25/22,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,OPEN,Initial Annual Inspection - Reinspection Not Required
"THESE OUR TREASURES, INC.",BRONX,5/26/23,Permitted,2 YEARS - 5 YEARS,66,Child Care - Pre School,5/25/05,4/17/22,16,66.6667,13,16.6667,66.6667,3/25/22,Windows excluding fire escape windows in a child care service observed without window guards in a child care service.,PUBLIC HEALTH HAZARD,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
"CHILDRENS BIG APPLE EARLY CHILDHOOD CENTER, INC.",QUEENS,5/2/23,Permitted,2 YEARS - 5 YEARS,100,Child Care - Pre School,4/30/05,4/17/22,16,20,17,0,20,3/2/22,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
HOWARD BEACH JUDEA CENTER,QUEENS,11/1/22,Permitted,2 YEARS - 5 YEARS,30,Child Care - Pre School,11/1/10,4/17/22,11,0,5,0,0,2/28/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
Bright Kids of America LLC,QUEENS,10/31/23,Permitted,2 YEARS - 5 YEARS,29,Child Care - Pre School,10/31/17,4/17/22,4,33.3333,4,16.6667,33.3333,3/11/22,Child enrolled in child care shall have additional immunizations as required by the Department,CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
"THE RED BALLOON DAY CARE CENTER, INC.",MANHATTAN,7/2/22,Permitted,2 YEARS - 5 YEARS,45,Child Care - Pre School,2/26/04,4/17/22,18,0,12,0,0,2/9/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"POLICE ATHLETIC LEAGUE, INC.",QUEENS,7/1/23,Permitted,2 YEARS - 5 YEARS,55,Child Care - Pre School,7/1/11,4/17/22,10,42.8571,5,0,42.8571,2/28/22,At time of inspection child care service facility observed Not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required
ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,QUEENS,8/26/23,Permitted,2 YEARS - 5 YEARS,29,Child Care - Pre School,1/25/93,4/17/22,29,0,4,0,0,2/8/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
EINSTEIN DAYCARE,BROOKLYN,2/25/22,Expired-In Renewal,0 YEARS - 2 YEARS,37,Child Care - Infants/Toddlers,2/25/16,4/17/22,6,0,8,0,0,3/4/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"SOUTHEAST BRONX NEIGHBORHOOD CENTERS, INC.",BRONX,3/18/23,Permitted,2 YEARS - 5 YEARS,100,Child Care - Pre School,3/16/05,4/17/22,17,40,9,20,20,2/3/22,Exits and other egress Not provided with required signage at time of inspection.,CRITICAL,CORRECTED,Initial Annual Inspection - Reinspection Required
"CLIFFORD GLOVER DAY CARE CENTER, INC",QUEENS,2/5/23,Permitted,2 YEARS - 5 YEARS,55,Child Care - Pre School,2/5/13,4/17/22,9,40,11,20,40,3/17/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
MSH 1456 LLC,MANHATTAN,12/7/23,Permitted,2 YEARS - 5 YEARS,26,Child Care - Pre School,12/7/17,4/17/22,4,28.5714,6,14.2857,14.2857,2/14/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
MI NUEVO MUNDO CORP,QUEENS,8/4/22,Permitted,2 YEARS - 5 YEARS,123,Child Care - Pre School,8/3/04,4/17/22,17,0,20,0,0,3/18/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"WORLDWIDE ENTITIES, LLC",STATEN ISLAND,10/25/23,Permitted,2 YEARS - 5 YEARS,90,Child Care - Pre School,10/25/13,4/17/22,8,0,15,0,0,3/23/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations
"MOM'S CENTER FOR EARLY CHILDHOOD DEVELOPMENT,INC.",BROOKLYN,7/13/22,Permitted,2 YEARS - 5 YEARS,75,Child Care - Pre School,6/12/92,4/17/22,29,0,17,0,0,2/9/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
MAGIC KINGDOM LLC.,BROOKLYN,9/8/22,Permitted,2 YEARS - 5 YEARS,30,Child Care - Pre School,2/7/13,4/17/22,9,50,12,0,50,3/16/22,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,CRITICAL,OPEN,None
UNITED BRETHREN'S CHURCH ON STATEN ISLAND,STATEN ISLAND,10/20/22,Permitted,2 YEARS - 5 YEARS,94,Child Care - Pre School,10/20/04,4/17/22,17,16.6667,19,0,16.6667,2/1/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"M AND N CHILD CARE, INC.",BROOKLYN,8/9/23,Permitted,2 YEARS - 5 YEARS,26,Child Care - Pre School,8/9/13,4/17/22,8,0,6,0,0,3/16/22,"At time of inspection children's medical files were Not provided, were incomplete or were Not maintained.",GENERAL,CORRECTED,None
"HERBERT G. BIRCH SERVICES, INC.",QUEENS,12/4/23,Permitted,2 YEARS - 5 YEARS,152,Child Care - Pre School,12/1/03,4/17/22,18,20,38,0,20,3/29/22,At time of inspection child care service facility observed Not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required
"OPEN HOUSE NURSERY SCHOOL, INC.",BROOKLYN,9/28/23,Permitted,2 YEARS - 5 YEARS,90,Child Care - Pre School,1/14/05,4/17/22,17,20,25,0,20,3/18/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Previously cited violations corrected
"HEAVEN'S TINY TOTS CHILD DEVELOPMENT CENTER, INC",MANHATTAN,9/2/23,Permitted,2 YEARS - 5 YEARS,72,Child Care - Pre School,9/2/21,4/17/22,0,0,2,0,0,2/2/22,"Plumbing and plumbing fixtures Not properly connected, vented, drained; Not installed and maintained in commercial building",GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Not Required
"J.A.D.E. MULTI FAMILY CIRCLE CENTER,INC.",BRONX,10/9/21,Expired-In Renewal,2 YEARS - 5 YEARS,38,Child Care - Pre School,7/30/05,4/17/22,16,100,5,100,100,1/4/22,Uncleared staff observed having unsupervised contact with children. Current SCR clearance is over 2 years old. Documents Not available at time of inspection,PUBLIC HEALTH HAZARD,CORRECTED,None
"Excelsior Child Care, Inc",QUEENS,10/5/22,Permitted,2 YEARS - 5 YEARS,39,Child Care - Pre School,10/5/16,4/17/22,5,16.6667,5,0,16.6667,3/23/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
VIP IV DAY CARE CENTER CORP.,QUEENS,5/21/24,Permitted,2 YEARS - 5 YEARS,83,Child Care - Pre School,5/21/14,4/17/22,7,0,24,0,0,2/10/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
BIRCH FAMILY SERVICES,BRONX,10/17/22,Permitted,2 YEARS - 5 YEARS,75,Child Care - Pre School,10/30/86,4/17/22,35,0,16,0,0,3/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"BKA OF NY, LLC",BROOKLYN,9/9/22,Permitted,0 YEARS - 2 YEARS,53,Child Care - Infants/Toddlers,9/9/14,4/17/22,7,20,10,0,20,1/13/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Monitoring Inspection Non-Routine - Reinspection Required; Violations corrected at time of inspection
OPEN DOOR ASSOCIATES,MANHATTAN,1/11/22,Expired-In Renewal,2 YEARS - 5 YEARS,85,Child Care - Pre School,10/27/03,4/17/22,18,50,12,0,50,1/21/22,Child care service fails to conduct and document daily health assessment of incoming children. Individual Not trained to identify disease.,GENERAL,OPEN,Initial Annual Inspection - Reinspection Required
THE WILLIAM WOODWARD JR. NURSERY SCHOOL,MANHATTAN,11/7/21,Expired-In Renewal,2 YEARS - 5 YEARS,45,Child Care - Pre School,11/7/13,4/17/22,8,16.6667,8,0,16.6667,3/30/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
SIDI INC.,BRONX,10/8/23,Permitted,2 YEARS - 5 YEARS,40,Child Care - Pre School,10/8/15,4/17/22,6,60,4,0,60,2/22/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations
"PRECIOUS MOMENTS DAYCARE CENTER, INC.",QUEENS,10/14/23,Permitted,0 YEARS - 2 YEARS,10,Child Care - Infants/Toddlers,2/5/02,4/17/22,20,0,4,0,0,3/15/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"BED STUY KIDS, INC.",BROOKLYN,9/10/23,Permitted,2 YEARS - 5 YEARS,71,Child Care - Pre School,9/13/19,4/17/22,2,80,4,40,80,3/23/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection
"PARK PLACE DAY CARE, INC.",BROOKLYN,8/27/22,Permitted,0 YEARS - 2 YEARS,28,Child Care - Infants/Toddlers,8/27/12,4/17/22,9,50,4,0,50,2/16/22,Child care service Not free of pests or maintains pest harborage conditions at time of inspection.,CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
"CATHOLIC CHARITIES OF STATEN ISLAND, INC.",STATEN ISLAND,9/14/22,Permitted,2 YEARS - 5 YEARS,73,Child Care - Pre School,9/4/04,4/17/22,17,16.6667,10,0,16.6667,3/9/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
LITTLE EXCELLENCE LLC,STATEN ISLAND,6/25/23,Permitted,2 YEARS - 5 YEARS,59,Child Care - Pre School,6/25/15,4/17/22,6,33.3333,11,0,33.3333,2/3/22,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
APPLETREE DAY CARE CENTER INC,QUEENS,2/28/23,Permitted,2 YEARS - 5 YEARS,69,Child Care - Pre School,2/28/11,4/17/22,11,0,8,0,0,1/12/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"BOOKS & RATTLES, INC.",QUEENS,1/4/24,Permitted,0 YEARS - 2 YEARS,18,Child Care - Infants/Toddlers,7/14/04,4/17/22,17,40,6,40,40,3/8/22,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
URBAN CONCEPTS OF NY ROUND THE CLOCK NURSERY INC,MANHATTAN,5/6/22,Permitted,0 YEARS - 2 YEARS,16,Child Care - Infants/Toddlers,5/6/14,4/17/22,7,0,7,0,0,2/15/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection
Up  N  Top Inc,QUEENS,9/16/22,Permitted,0 YEARS - 2 YEARS,8,Child Care - Infants/Toddlers,9/16/20,4/17/22,1,0,3,0,0,3/23/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"SHOLOM, SHOLOM INC.",QUEENS,8/16/23,Permitted,2 YEARS - 5 YEARS,88,Child Care - Pre School,8/16/21,4/17/22,0,0,13,0,0,1/18/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
SEMILLITAS CORP.,QUEENS,11/5/22,Permitted,2 YEARS - 5 YEARS,20,Child Care - Pre School,2/25/02,4/17/22,20,28.5714,5,14.2857,28.5714,4/1/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"HONEYDEW DROP PLAYHOUSE, LLC",BROOKLYN,5/17/23,Permitted,2 YEARS - 5 YEARS,28,Child Care - Pre School,5/17/07,4/17/22,14,0,7,0,0,3/11/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
